query_id	ndcg10	recall10	recall100	mrr10
hu-001	0.0000	0.0000	0.7500	0.0000
hu-002	0.8396	1.0000	1.0000	1.0000
hu-003	0.6715	0.7500	1.0000	1.0000
hu-004	0.0000	0.0000	0.7500	0.0000
hu-005	0.0000	0.0000	0.2500	0.0000
hu-006	0.3127	0.5000	1.0000	0.3333
hu-007	0.4202	0.7500	1.0000	0.2000
hu-008	0.5349	0.8000	1.0000	0.5000
hu-009	0.2463	0.2500	0.7500	0.5000
hu-010	0.1681	0.2500	1.0000	0.2500
hu-011	0.5912	1.0000	1.0000	0.5000
hu-012	0.7678	1.0000	1.0000	0.5000
hu-013	1.0000	1.0000	1.0000	1.0000
hu-014	0.3987	0.5000	1.0000	0.3333
hu-015	1.0000	1.0000	1.0000	1.0000
hu-016	0.9197	1.0000	1.0000	1.0000
hu-017	0.6509	1.0000	1.0000	0.5000
hu-018	0.6318	0.6667	1.0000	1.0000
hu-019	0.8539	0.8000	1.0000	1.0000
hu-020	0.7039	0.6667	1.0000	1.0000
hu-021	0.8486	1.0000	1.0000	1.0000
hu-022	0.3973	0.5000	1.0000	0.5000
hu-023	0.1952	0.2500	0.2500	0.3333
hu-024	0.3904	0.2500	0.7500	1.0000
hu-025	0.3066	0.5000	1.0000	0.3333
hu-026	0.1510	0.2500	0.7500	0.2000
hu-027	0.7654	0.6667	1.0000	1.0000
hu-028	0.1696	0.2000	0.6000	0.3333
hu-029	0.1952	0.2500	0.7500	0.3333
hu-030	0.5856	0.5000	1.0000	1.0000
hu-031	0.6367	0.5000	0.7500	1.0000
