query_id	ndcg10	recall10	recall100	mrr10
hu-001	0.0000	0.0000	0.7500	0.0000
hu-002	0.6364	0.6667	1.0000	1.0000
hu-003	0.6714	0.7500	1.0000	1.0000
hu-004	0.0000	0.0000	0.7500	0.0000
hu-005	0.0000	0.0000	0.2500	0.0000
hu-006	0.3127	0.5000	0.7500	0.3333
hu-007	0.5376	0.7500	1.0000	0.5000
hu-008	0.5349	0.8000	1.0000	0.5000
hu-009	0.2463	0.2500	0.7500	0.5000
hu-010	0.2463	0.2500	1.0000	0.5000
hu-011	0.4228	1.0000	1.0000	0.1667
hu-012	0.7817	1.0000	1.0000	0.5000
hu-013	0.9134	1.0000	1.0000	1.0000
hu-014	0.4646	0.6667	1.0000	0.3333
hu-015	1.0000	1.0000	1.0000	1.0000
hu-016	0.9197	1.0000	1.0000	1.0000
hu-017	0.6053	1.0000	1.0000	0.5000
hu-018	0.7500	0.8333	1.0000	1.0000
hu-019	0.8539	0.8000	1.0000	1.0000
hu-020	0.8452	1.0000	1.0000	1.0000
hu-021	0.8756	1.0000	1.0000	1.0000
hu-022	0.3253	0.5000	1.0000	0.3333
hu-023	0.2463	0.2500	0.5000	0.5000
hu-024	0.2463	0.2500	0.7500	0.5000
hu-025	0.4911	1.0000	1.0000	0.3333
hu-026	0.1510	0.2500	0.7500	0.2000
hu-027	0.7039	0.6667	1.0000	1.0000
hu-028	0.0000	0.0000	0.4000	0.0000
hu-029	0.2463	0.2500	0.7500	0.5000
hu-030	0.6367	0.5000	1.0000	1.0000
hu-031	0.6367	0.5000	0.7500	1.0000
