query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10
q-001	0.6844	0.6000	1.0000	1.0000			1.0000
q-002	0.2961	0.3333	0.6667	0.6667			0.5000
q-003	0.0000	0.0000	0.0000	1.0000			0.0000
q-004	0.5752	0.8000	1.0000	1.0000			0.5000
q-005	0.5250	1.0000	1.0000	1.0000			0.3333
q-006	0.5205	0.7500	1.0000	1.0000			0.5000
q-007	0.9060	1.0000	1.0000	1.0000			1.0000
q-008	0.6309	1.0000	1.0000	1.0000			0.5000
q-009	1.0000	1.0000	1.0000	1.0000			1.0000
q-010	0.4693	0.3333	1.0000	1.0000			1.0000
q-011	0.2346	0.3333	0.3333	0.6667			0.3333
q-012	0.3501	0.6667	0.6667	1.0000			0.2500
q-013	0.6788	1.0000	1.0000	1.0000			0.5000
q-014	0.2021	0.3333	0.3333	0.6667			0.2500
q-015	0.6131	0.5000	0.5000	1.0000			1.0000
q-016	0.9197	1.0000	1.0000	1.0000			1.0000
q-017	0.0000	0.0000	0.5000	1.0000			0.0000
q-018	0.0000	0.0000	0.2500	1.0000			0.0000
q-019	0.2021	0.3333	0.3333	1.0000			0.2500
q-020	0.3869	0.5000	0.5000	0.5000			0.5000
q-021	0.0000	0.0000	0.2500	1.0000			0.0000
q-022	0.5668	1.0000	1.0000	1.0000			0.2500
q-023	0.2346	0.3333	0.6667	1.0000			0.3333
q-024	0.0000	0.0000	0.0000	0.0000			0.0000
q-025	0.0000	0.0000	0.0000	0.5000			0.0000
q-026	0.4462	0.4000	0.6000	0.8000			1.0000
q-027	0.1952	0.2500	0.5000	0.7500			0.3333
q-028	0.3072	0.5000	0.5000	1.0000			0.2500
q-029	0.3591	0.5000	1.0000	1.0000			0.5000
q-030	1.0000	1.0000	1.0000	1.0000			1.0000
q-031	0.2463	0.2500	0.7500	1.0000			0.5000
q-032	0.3869	0.5000	0.5000	1.0000			0.5000
q-033	0.1480	0.3333	0.6667	0.6667			0.1250
q-034	0.3155	1.0000	1.0000	1.0000			0.1250
q-035	0.3333	1.0000	1.0000	1.0000			0.1429
q-036	0.3066	0.5000	0.5000	1.0000			0.3333
q-037	0.6131	0.5000	0.5000	1.0000			1.0000
q-038	0.4441	0.6667	0.6667	1.0000			0.5000
q-039	0.4373	0.6667	1.0000	1.0000			0.5000
q-040	0.6309	1.0000	1.0000	1.0000			0.5000
q-041	0.4632	0.6667	0.6667	1.0000			0.5000
q-042	0.6189	1.0000	1.0000	1.0000			0.5000
q-043	0.4693	0.3333	0.3333	1.0000			1.0000
q-044	0.3585	0.6667	0.6667	1.0000			0.2500
q-045	0.4913	0.6000	1.0000	1.0000			0.5000
q-046	0.2258	0.3333	0.3333	0.8333			0.2500
q-047	0.1596	0.1250	0.3750	1.0000			0.5000
q-048	0.2166	0.2500	0.6250	1.0000			0.3333
q-049	0.8891	1.0000	1.0000	1.0000			1.0000
q-050	0.2354	0.2500	0.5000	0.7500			0.3333
q-051	0.1732	0.1429	0.1429	0.4286			0.2500
q-052	0.0000	0.0000	0.0000	1.0000			0.0000
q-053	0.1265	0.1250	0.1250	0.8750			0.3333
q-054	0.2044	0.5000	1.0000	1.0000			0.1429
q-055	0.3422	0.3333	0.5000	1.0000			0.5000
q-056	0.2248	0.0938	0.2813	0.9063			0.2000
q-057	0.3527	0.0714	0.1071	0.1964			0.3333
q-058	0.1732	0.0833	0.2083	0.4167			0.2500
q-059	0.4328	0.1389	0.1667	0.5833			0.3333
q-060	0.4328	0.1389	0.1667	0.5833			0.3333
